*******************************************************************************
Revised: Jul 26, 2016             Moon / (Earth)                            301
 
PHYSICAL PROPERTIES:
 Radius (IAU), km      = 1737.4          Mass, 10^20 kg        =  734.9
 Radius (gravity), km  = 1738.0          Geometric albedo      =    0.12
 Density, gm cm^-3     =    3.3437       GM, km^3/s^2          = 4902.80007
 V(1,0)                =   +0.21         Surface gravity       =    1.62 m s^-2
 Earth/Moon mass ratio = 81.3005691      Farside crust. thick. = ~80 - 90 km   
 Nearside crust. thick.= 58+-8 km        Heat flow, Apollo 17  = 2.2+-.5 mW/m^2
 Heat flow, Apollo 15  = 3.1+-.6 mW/m^2  k2                    = 0.024059
 Mean crustal density  = 2.97+-.07g/cm^3 Magnetometer moment   = 435+-15        
 Induced magnetic mom. = 4.23x10^22Gcm^3 

DYNAMICAL CHARACTERISTICS:
 Mean angular diameter = 31'05.2"        Orbit period          = 27.321582 d
 Obliquity to orbit    = 6.67 deg        Eccentricity          = 0.05490
 Semi-major axis, a    = 384400 km       Inclination           = 5.145 deg
 Mean motion, rad/s    = 2.6616995x10^-6 Nodal period          = 6798.38 d
 Apsidal period        = 3231.50 d       Mom. of inertia C/MR^2= 0.393142
 beta (C-A/B), x10^-4  = 6.310213        gamma (B-A/C), x10^-4 = 2.277317
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Mon Oct  2 17:08:13 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Moon (301)                      {source: DE431mx}
Center body name: Earth-Moon Barycenter (3)       {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1600-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2030-Jan-01 00:00:00.0000 TDB
Step-size       : 1 calendar months
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Keplerian GM    : 8.6730232826523468E-10 au^3/d^2
Output units    : AU-D, deg, Julian Day Number (Tp)                            
Output type     : GEOMETRIC osculating elements
Output format   : 10
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2305447.500000000, A.D. 1600-Jan-01 00:00:00.0000,  4.682123132678466E-02,  2.436165270375272E-03,  5.281153968316496E+00,  3.064101205749537E+02,  8.377214992183488E+01,  2.305441768204948E+06,  1.305898152148989E+01,  7.485140566641914E+01,  8.010329513800292E+01,  2.555832494849115E-03,  2.675499719322959E-03,  2.756723404559408E+01,
2305478.500000000, A.D. 1600-Feb-01 00:00:00.0000,  4.702014482622783E-02,  2.432562562030185E-03,  5.304037694057727E+00,  3.064159930837421E+02,  7.728254080179086E+01,  2.305468626045607E+06,  1.308390677918322E+01,  1.291898988117781E+02,  1.332129473421536E+02,  2.552585502016321E-03,  2.672608442002458E-03,  2.751471758976208E+01,
2305507.500000000, A.D. 1600-Mar-01 00:00:00.0000,  4.725637108149410E-02,  2.436008094375595E-03,  5.179866887073269E+00,  3.058155830626329E+02,  7.583193464291756E+01,  2.305495731811116E+06,  1.305130316559040E+01,  1.535902008314386E+02,  1.558769562696661E+02,  2.556834829891014E-03,  2.677661565406433E-03,  2.758345242865368E+01,
2305538.500000000, A.D. 1600-Apr-01 00:00:00.0000,  5.233834693930317E-02,  2.415819236486372E-03,  5.041679722269942E+00,  3.031728041280641E+02,  8.597409073908450E+01,  2.305551156309598E+06,  1.310965301210166E+01,  1.940801727554465E+02,  1.927084802661664E+02,  2.549242367973753E-03,  2.682665499461134E-03,  2.746068104683473E+01,
2305568.500000000, A.D. 1600-May-01 00:00:00.0000,  4.972410544822538E-02,  2.419132515994001E-03,  5.055468630550807E+00,  2.999206976458182E+02,  9.674758734061037E+01,  2.305579016570976E+06,  1.313690227615309E+01,  2.218448347988843E+02,  2.182145457588091E+02,  2.545715965083020E-03,  2.672299414172039E-03,  2.740372063614221E+01,
2305599.500000000, A.D. 1600-Jun-01 00:00:00.0000,  4.280582599176636E-02,  2.423155020617922E-03,  5.197956207398231E+00,  2.977888398152544E+02,  1.081503021516462E+02,  2.305606968990557E+06,  1.324756808165329E+01,  2.610540390914028E+02,  2.562541341448626E+02,  2.531518772696874E-03,  2.639882524775827E-03,  2.717479901073830E+01,
2305629.500000000, A.D. 1600-Jul-01 00:00:00.0000,  3.349961259509822E-02,  2.440704322338829E-03,  5.298670753699636E+00,  2.972495557192986E+02,  1.034137041305554E+02,  2.305633869356742E+06,  1.329652583735543E+01,  3.019027351835533E+02,  2.985720221573602E+02,  2.525300925012801E-03,  2.609897527686773E-03,  2.707474150793670E+01,
2305660.500000000, A.D. 1600-Aug-01 00:00:00.0000,  3.020439852699785E-02,  2.437636013745809E-03,  5.280671191054261E+00,  2.971318085651754E+02,  8.649456940694805E+01,  2.305659898329404E+06,  1.338982550188723E+01,  8.056264292751630E+00,  8.560131570930492E+00,  2.513556475244200E-03,  2.589476936742592E-03,  2.688608600233511E+01,
